Datum;BundeslandID;Bevölkerung;Name;GemeldeteImpfungenLaender;GemeldeteImpfungenLaenderPro100
2021-02-12T23:59:59+01:00;6;1246395;Steiermark;66636;Mai.35
2021-02-12T23:59:59+01:00;7;757634;Tirol;27752;Mär.66
2021-02-12T23:59:59+01:00;8;397139;Vorarlberg;14019;Mär.53
2021-02-12T23:59:59+01:00;9;1911191;Wien;83686;Apr.38
2021-02-12T23:59:59+01:00;10;8901064;Österreich;365414;04.Nov
2021-02-13T23:59:59+01:00;1;294436;Burgenland;6215;02.Nov
2021-02-13T23:59:59+01:00;2;561293;Kärnten;27940;Apr.98
2021-02-13T23:59:59+01:00;3;1684287;Niederösterreich;69216;04.Nov
2021-02-13T23:59:59+01:00;4;1490279;Oberösterreich;47341;Mär.18
2021-02-13T23:59:59+01:00;5;558410;Salzburg;24119;Apr.32
2021-02-13T23:59:59+01:00;6;1246395;Steiermark;67626;Mai.43
2021-02-13T23:59:59+01:00;7;757634;Tirol;27752;Mär.66
2021-02-13T23:59:59+01:00;8;397139;Vorarlberg;14255;Mär.59
2021-02-13T23:59:59+01:00;9;1911191;Wien;84302;Apr.41
2021-02-13T23:59:59+01:00;10;8901064;Österreich;368766;Apr.14
2021-02-14T23:59:59+01:00;1;294436;Burgenland;6215;02.Nov
2021-02-14T23:59:59+01:00;2;561293;Kärnten;29725;Mai.30
2021-02-14T23:59:59+01:00;3;1684287;Niederösterreich;69648;Apr.14
2021-02-14T23:59:59+01:00;4;1490279;Oberösterreich;49863;Mär.35
2021-02-14T23:59:59+01:00;5;558410;Salzburg;24119;Apr.32
2021-02-14T23:59:59+01:00;6;1246395;Steiermark;67926;Mai.45
2021-02-14T23:59:59+01:00;7;757634;Tirol;27752;Mär.66
2021-02-14T23:59:59+01:00;8;397139;Vorarlberg;14368;Mär.62
2021-02-14T23:59:59+01:00;9;1911191;Wien;84418;Apr.42
2021-02-14T23:59:59+01:00;10;8901064;Österreich;374034;Apr.20
2021-02-15T23:59:59+01:00;1;294436;Burgenland;13574;Apr.61
2021-02-15T23:59:59+01:00;2;561293;Kärnten;30855;Mai.50
2021-02-15T23:59:59+01:00;3;1684287;Niederösterreich;82676;Apr.91
2021-02-15T23:59:59+01:00;4;1490279;Oberösterreich;76819;Mai.15
2021-02-15T23:59:59+01:00;5;558410;Salzburg;21821;Mär.91
2021-02-15T23:59:59+01:00;6;1246395;Steiermark;40324;Mär.24
2021-02-15T23:59:59+01:00;7;757634;Tirol;26411;Mär.49
2021-02-15T23:59:59+01:00;8;397139;Vorarlberg;20014;05.Apr
2021-02-15T23:59:59+01:00;9;1911191;Wien;86536;Apr.53
2021-02-15T23:59:59+01:00;10;8901064;Österreich;402986;Apr.53
2021-02-16T23:59:59+01:00;1;294436;Burgenland;14044;Apr.77
2021-02-16T23:59:59+01:00;2;561293;Kärnten;32057;Mai.71
